GrCapIotaWPsiliPeris.Por,GrCapIota,GrPsiliPeris.Por,,,
GrCapIotaWPsiliVaria,GrCapIota,GrPsiliVaria,,,1F3A
GrCapIotaWTonos,GrCapIota,GrTonos,,,038A
GrCapIotaWVaria,GrCapIota,GrVaria,,,1FDA
GrCapOmegaWDasia,GrCapOmega,GrDasia,,,1F69
GrCapOmegaWDasiaOxia,GrCapOmega,GrDasiaOxia,,,1F6D
GrCapOmegaWDasiaOxiaPros,GrCapOmega,GrDasiaOxia,,GrPros,1FAD
GrCapOmegaWDasiaPeris,GrCapOmega,GrDasiaPeris,,,1F6F
GrCapOmegaWDasiaPeris.Por,GrCapOmega,GrDasiaPeris.Por,,,
GrCapOmegaWDasiaPerisPros,GrCapOmega,GrDasiaPeris,,GrPros,1FAF
GrCapOmegaWDasiaPerisPros.Por,GrCapOmega,GrDasiaPeris.Por,,GrPros,
GrCapOmegaWDasiaPros,GrCapOmega,GrDasia,,GrPros,1FA9
GrCapOmegaWDasiaVaria,GrCapOmega,GrDasiaVaria,,,1F6B
GrCapOmegaWDasiaVariaPros,GrCapOmega,GrDasiaVaria,,GrPros,1FAB
GrCapOmegaWOxia,GrCapOmega,GrOxia,,,1FFB
GrCapOmegaWPsili,GrCapOmega,GrPsili,,,1F68
GrCapOmegaWPsiliOxia,GrCapOmega,GrPsiliOxia,,,1F6C
GrCapOmegaWPsiliOxiaPros,GrCapOmega,GrPsiliOxia,,GrPros,1FAC
GrCapOmegaWPsiliPeris,GrCapOmega,GrPsiliPeris,,,1F6E
GrCapOmegaWPsiliPeris.Por,GrCapOmega,GrPsiliPeris.Por,,,
GrCapOmegaWPsiliPerisPros,GrCapOmega,GrPsiliPeris,,GrPros,1FAE
GrCapOmegaWPsiliPerisPros.Por,GrCapOmega,GrPsiliPeris.Por,,GrPros,
GrCapOmegaWPsiliPros,GrCapOmega,GrPsili,,GrPros,1FA8
GrCapOmegaWPsiliVaria,GrCapOmega,GrPsiliVaria,,,1F6A
GrCapOmegaWPsiliVariaPros,GrCapOmega,GrPsiliVaria,,GrPros,1FAA
GrCapOmegaWTonos,GrCapOmega,GrTonos,,,038F
GrCapOmegaWVaria,GrCapOmega,GrVaria,,,1FFA
GrCapOmicronWDasia,GrCapOmicron,GrDasia,,,1F49
GrCapOmicronWDasiaOxia,GrCapOmicron,GrDasiaOxia,,,1F4D
GrCapOmicronWDasiaVaria,GrCapOmicron,GrDasiaVaria,,,1F4B
GrCapOmicronWOxia,GrCapOmicron,GrOxia,,,1FF9
GrCapOmicronWPsili,GrCapOmicron,GrPsili,,,1F48
GrCapOmicronWPsiliOxia,GrCapOmicron,GrPsiliOxia,,,1F4C
GrCapOmicronWPsiliVaria,GrCapOmicron,GrPsiliVaria,,,1F4A
GrCapOmicronWTonos,GrCapOmicron,GrTonos,,,038C
GrCapOmicronWVaria,GrCapOmicron,GrVaria,,,1FF8
GrCapRhoWDasia,GrCapRho,GrDasia,,,1FEC
GrCapUpsilonWDasia,GrCapUpsilon,GrDasia,,,1F59
GrCapUpsilonWDasiaOxia,GrCapUpsilon,GrDasiaOxia,,,1F5D
GrCapUpsilonWDasiaPeris,GrCapUpsilon,GrDasiaPeris,,,1F5F
GrCapUpsilonWDasiaPeris.Por,GrCapUpsilon,GrDasiaPeris.Por,,,
GrCapUpsilonWDasiaVaria,GrCapUpsilon,GrDasiaVaria,,,1F5B
GrCapUpsilonWOxia,GrCapUpsilon,GrOxia,,,1FEB
GrCapUpsilonWTonos,GrCapUpsilon,GrTonos,,,038E
GrCapUpsilonWVaria,GrCapUpsilon,GrVaria,,,1FEA
GrUpsilonWAcuteHookSym,GrUpsilonWHookSym,GrTonos,,,03D3
GrCapAlphaWDasiaOxiaPros.ISub,GrCapAlpha,GrDasiaOxia,GrYpo,,
GrCapAlphaWDasiaPerisPros.ISub,GrCapAlpha,GrDasiaPeris,GrYpo,,
GrCapAlphaWDasiaPerisPros.Por.ISub,GrCapAlpha,GrDasiaPeris.Por,GrYpo,,
GrCapAlphaWDasiaPros.ISub,GrCapAlpha,GrDasia,GrYpo,,
GrCapAlphaWDasiaVariaPros.ISub,GrCapAlpha,GrDasiaVaria,GrYpo,,
GrCapAlphaWPsiliOxiaPros.ISub,GrCapAlpha,GrPsiliOxia,GrYpo,,
GrCapAlphaWPsiliPerisPros.ISub,GrCapAlpha,GrPsiliPeris,GrYpo,,
GrCapAlphaWPsiliPerisPros.Por.ISub,GrCapAlpha,GrPsiliPeris.Por,GrYpo,,
GrCapAlphaWPsiliPros.ISub,GrCapAlpha,GrPsili,GrYpo,,
GrCapAlphaWPsiliVariaPros.ISub,GrCapAlpha,GrPsiliVaria,GrYpo,,
GrCapEtaWDasiaOxiaPros.ISub,GrCapEta,GrDasiaOxia,GrYpo,,
GrCapEtaWDasiaPerisPros.ISub,GrCapEta,GrDasiaPeris,GrYpo,,
GrCapEtaWDasiaPerisPros.Por.ISub,GrCapEta,GrDasiaPeris.Por,GrYpo,,
GrCapEtaWDasiaPros.ISub,GrCapEta,GrDasia,GrYpo,,
GrCapEtaWDasiaVariaPros.ISub,GrCapEta,GrDasiaVaria,GrYpo,,
GrCapEtaWPsiliOxiaPros.ISub,GrCapEta,GrPsiliOxia,GrYpo,,
GrCapEtaWPsiliPerisPros.ISub,GrCapEta,GrPsiliPeris,GrYpo,,
GrCapEtaWPsiliPerisPros.Por.ISub,GrCapEta,GrPsiliPeris.Por,GrYpo,,
GrCapEtaWPsiliPros.ISub,GrCapEta,GrPsili,GrYpo,,
GrCapEtaWPsiliVariaPros.ISub,GrCapEta,GrPsiliVaria,GrYpo,,
GrCapOmegaWDasiaOxiaPros.ISub,GrCapOmega,GrDasiaOxia,GrYpo,,
GrCapOmegaWDasiaPerisPros.ISub,GrCapOmega,GrDasiaPeris,GrYpo,,
GrCapOmegaWDasiaPerisPros.Por.ISub,GrCapOmega,GrDasiaPeris.Por,GrYpo,,
GrCapOmegaWDasiaPros.ISub,GrCapOmega,GrDasia,GrYpo,,
GrCapOmegaWDasiaVariaPros.ISub,GrCapOmega,GrDasiaVaria,GrYpo,,
GrCapOmegaWPsiliOxiaPros.ISub,GrCapOmega,GrPsiliOxia,GrYpo,,
GrCapOmegaWPsiliPerisPros.ISub,GrCapOmega,GrPsiliPeris,GrYpo,,
GrCapOmegaWPsiliPerisPros.Por.ISub,GrCapOmega,GrPsiliPeris.Por,GrYpo,,
GrCapOmegaWPsiliPros.ISub,GrCapOmega,GrPsili,GrYpo,,
GrCapOmegaWPsiliVariaPros.ISub,GrCapOmega,GrPsiliVaria,GrYpo,,
